"","countryname","iso3","year","n_gdp","r_gdp","r_gdp_pc","r_gdp_usd","deflator","cons","rcons","cons_gdp","inv","inv_gdp","finv","finv_gdp","exports","exports_gdp","imports","imports_gdp","ca","ca_gdp","us_dfx","reer","govexp","govexp_gdp","govrev","govrev_gdp","govtax","govtax_gdp","govdef","govdef_gdp","govdebt","govdebt_gdp","hpi","cpi","infl","pop","unemp","strate","ltrate","cbrate","m0","m1","m2","m3","m4","sov_debt_crisis","currency_crisis","banking_crisis","Flood","Epidemic","Mass movement (dry)","Drought","Earthquake","Mass movement (wet)","Storm","Wildfire","Extreme temperature","any_disaster"
"1","Nepal","NPL",1960,4494.9761,250888.06,24660.428,3179.5251,1.7916261,NA,NA,NA,NA,NA,NA,NA,130.20409,NA,273.33334,NA,NA,NA,7.5,NA,208.47009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.173711,NA,NA,NA,NA,98.512352,171.92578,169.93466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Nepal","NPL",1961,4703.8828,255675.66,24656.721,3240.1987,1.8397852,NA,NA,NA,NA,NA,NA,NA,207.14287,NA,379.04761,NA,NA,NA,7.619,NA,230.03598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.369411,NA,NA,NA,NA,123.65087,210.99126,207.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Nepal","NPL",1962,5076.4331,260559.91,24643.584,3302.0972,1.9482787,NA,NA,NA,NA,NA,NA,NA,261.39456,8.6094999,422.85715,NA,NA,NA,7.619,NA,160.30632,5.068182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.573133,NA,NA,NA,NA,126.64963,215.04877,216.2289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Nepal","NPL",1963,5357.2964,265497.78,24622.188,3364.6753,2.0178308,NA,NA,NA,202.96442,3.8379722,306.92844,5.8957982,284.08163,8.9499245,575.2381,NA,NA,NA,7.619,NA,188.34195,5.695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.782867,NA,NA,NA,NA,166.84573,277.42142,271.68466,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,2
"5","Nepal","NPL",1964,5829.6577,285496.28,25953,3618.1179,2.0419383,NA,NA,NA,224.48575,3.8380845,339.46365,5.8957982,287.04083,8.3197002,576.19049,NA,NA,NA,7.619,172.30656,229.31711,6.3800001,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7842472,NA,11.000512,NA,NA,NA,NA,187.0714,357.34521,339.38287,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1
"6","Nepal","NPL",1965,6501.6406,282061.22,25119.771,3574.5852,2.3050458,5404.187,NA,91.209831,249.53551,3.8380396,377.34796,5.8957992,435,11.257327,780,13.923599,NA,NA,7.619,178.11403,251.60185,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0201249,8.4718695,11.228654,NA,NA,NA,NA,267.01697,454.25397,425.97174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Nepal","NPL",1966,8018.5356,301920.13,26333.807,3826.2588,2.6558466,6568.999,NA,89.895592,230.87219,2.8792317,461.9678,5.8957987,390,8.1834888,605,8.7566938,NA,NA,7.61725,209.47336,307.67313,6.2941175,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4546897,14.38897,11.465116,NA,NA,NA,NA,280.41568,477.74985,450.6998,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1
"8","Nepal","NPL",1967,7445.2026,297175.47,25377.211,3766.1294,2.505322,5901.4565,NA,86.979515,221.19492,2.9709725,442.25012,5.8957982,441,9.9662323,446,6.952455,NA,NA,8.0341673,190.98215,315.5806,6.859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3576708,-2.8083315,11.710328,NA,NA,NA,NA,298.34442,501.71759,487.75134,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,2
"9","Nepal","NPL",1968,8324.9316,299182.84,25004.559,3791.5691,2.7825565,6590.2832,NA,86.867561,282.02353,3.3876977,450.38974,5.8957987,491,9.9236116,538,7.5003481,NA,NA,10.125,149.42334,332.11444,6.4166665,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3972867,1.17987,11.965132,NA,NA,NA,NA,354.81036,562.203,582.12347,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1
"10","Nepal","NPL",1969,9267.333,312536.66,25560.789,3960.803,2.9651988,7598.3677,NA,89.970436,267.5076,2.8865652,489.6344,5.8957987,560,10.16722,816,10.219161,NA,NA,10.125,150.83777,386.02911,6.7125001,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.535135,4.0575914,12.227191,NA,NA,NA,NA,433.09705,697.70544,747.84222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
